ne_in[19],76.74µm
se_out[6],76.74µm
south_out[25],76.74µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[0\],76.72µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[2\],76.49µm
south_in[4],76.23µm
_1872_,76.22µm
south_in[10],76.18µm
sw_in[33],76.18µm
_0988_,75.86µm
west_in[16],75.67µm
net133,75.57µm
_2173_,75.32µm
se_out[31],75.11µm
north_in[1],75.06µm
north_in[8],75.06µm
nw_in[24],75.06µm
rst,75.06µm
south_in[13],75.06µm
se_out[9],75.06µm
net150,74.93µm
east_in[21],74.55µm
east_in[8],74.5µm
east_out[16],74.5µm
east_out[20],74.5µm
se_out[22],74.5µm
south_out[20],74.5µm
_0770_,74.345µm
_1264_,74.25µm
core_inst.rf_mem_if.o_wb_rdt\[7\],74.25µm
_0644_,74.08µm
_1908_,74.01µm
east_in[13],73.99µm
south_out[1],73.99µm
_1300_,73.97µm
ne_in[1],73.94µm
nw_in[3],73.94µm
south_in[8],73.94µm
sw_in[10],73.94µm
se_out[15],73.94µm
_1290_,73.74µm
net242,73.61µm
net104,73.51µm
_2307_,73.45µm
router_inst.inject_flit\[11\],73.41µm
net269,73.41µm
south_in[16],73.38µm
sw_in[5],73.38µm
_0651_,73.18µm
_0616_,73.08µm
_1517_,73.08µm
core_inst.rf_mem_if.o_wb_rdt\[0\],73.08µm
ne_in[9],72.87µm
_0689_,72.85µm
east_out[4],72.82µm
south_out[16],72.82µm
_0090_,72.8µm
_0846_,72.8µm
net361,72.8µm
net172,72.76µm
_0180_,72.52µm
net389,72.52µm
east_in[16],72.31µm
ne_in[16],72.31µm
se_in[9],72.31µm
sw_in[16],72.31µm
core_inst.o_wb_dat\[4\],72.29µm
east_in[20],72.26µm
north_in[21],72.26µm
net290,72.1µm
_0906_,71.99µm
_0691_,71.96µm
ne_in[10],71.8µm
east_out[15],71.8µm
_0565_,71.78µm
core_inst.servile.cpu.bufreg2.i_bytecnt\[1\],71.78µm
net411,71.73µm
east_in[9],71.7µm
se_in[14],71.7µm
south_out[31],71.7µm
_1520_,71.68µm
net380,71.49µm
_1285_,71.28µm
net373,71.27µm
se_out[10],71.24µm
net103,71.22µm
sw_in[19],71.14µm
west_in[20],71.14µm
_1749_,71.03µm
_0806_,70.84µm
_0812_,70.84µm
net814,70.82µm
se_out[17],70.68µm
_1781_,70.66µm
router_inst.inject_flit\[13\],70.61µm
se_in[21],70.58µm
router_inst.inject_flit\[23\],70.455µm
_1776_,70.38µm
net92,70.38µm
net166,70.325µm
_1518_,70.32µm
sram2048.D\[7\],70.28µm
net257,70.15µm
sw_in[13],70.07µm
south_out[19],70.07µm
net394,70.05µm
net644,70.05µm
west_out[23],70.02µm
_2314_,69.98µm
_0865_,69.77µm
west_in[4],69.46µm
net228,69.12µm
_1284_,69.03µm
net370,69.03µm
north_in[20],68.9µm
south_in[21],68.9µm
se_out[20],68.9µm
net383,68.88µm
net91,68.74µm
_0845_,68.65µm
_0862_,68.6µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm24_20\[1\],68.6µm
south_in[18],68.39µm
nw_in[12],68.34µm
sw_in[6],68.34µm
nw_in[15],67.78µm
se_in[15],67.78µm
west_in[9],67.78µm
west_out[31],67.78µm
net783,67.77µm
net34,67.455µm
_0869_,67.2µm
_0569_,67.12µm
net1040,66.69µm
ne_in[0],66.66µm
_1007_,66.41µm
net214,66.41µm
east_in[4],66.1µm
south_in[1],66.1µm
west_in[6],66.1µm
net245,65.85µm
_1930_,65.825µm
core_inst.servile.rf_ram_if.rcnt\[0\],65.72µm
east_in[17],65.64µm
south_out[0],65.64µm
east_in[1],65.59µm
se_out[13],65.59µm
se_in[12],65.54µm
west_in[19],65.54µm
_0743_,65.11µm
net817,65.1µm
net82,65.08µm
net272,65.06µm
north_in[17],65.03µm
net337,65.01µm
west_in[3],64.98µm
_1775_,64.78µm
router_inst.inject_flit\[5\],64.515µm
_0982_,64.5µm
_0732_,64.45µm
south_in[17],64.42µm
west_in[13],64.42µm
_0793_,64.1µm
nw_in[19],63.91µm
nw_in[1],63.91µm
net101,63.89µm
south_out[15],63.86µm
_0077_,63.84µm
net420,63.84µm
net791,63.765µm
_1778_,63.71µm
east_in[5],63.7µm
_1311_,63.66µm
_1759_,63.355µm
east_in[3],63.35µm
north_in[3],63.35µm
net71,63.1µm
_0894_,62.92µm
north_in[18],62.74µm
sw_in[18],62.74µm
east_out[22],62.74µm
_0622_,62.54µm
_0830_,62.49µm
_1893_,62.49µm
_0779_,62.26µm
se_in[19],62.23µm
se_in[1],62.23µm
se_in[24],62.23µm
se_in[18],62.18µm
_0087_,62.16µm
net372,62.16µm
_0550_,62.145µm
_0824_,61.93µm
_1221_,61.675µm
north_in[4],61.67µm
se_out[1],61.67µm
net33,61.65µm
sw_in[26],61.62µm
west_in[26],61.62µm
east_out[14],61.62µm
east_out[6],61.62µm
net423,61.6µm
_1218_,61.37µm
_1239_,61.37µm
_2172_,61.37µm
_0802_,61.32µm
core_inst.servile.cpu.decode.op26,61.19µm
ne_in[24],61.16µm
se_in[6],61.16µm
ne_in[22],61.11µm
sw_in[3],61.11µm
south_out[26],61.11µm
_0696_,61.09µm
_2234_,61.09µm
south_in[24],61.06µm
south_out[14],61.06µm
_1512_,61.04µm
_0961_,61.02µm
_0962_,60.885µm
_0571_,60.76µm
_2015_,60.7µm
net231,60.63µm
_1279_,60.58µm
net221,60.58µm
ne_in[14],60.55µm
east_in[18],60.5µm
sw_in[24],60.5µm
net1039,60.48µm
_0523_,60.34µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[3\],60.295µm
west_in[14],60.27µm
_1814_,60.25µm
_1260_,60.2µm
net273,60.145µm
net639,60.07µm
north_in[22],60.04µm
nw_in[22],59.99µm
south_out[21],59.99µm
core_inst.o_wb_adr\[6\],59.97µm
net323,59.97µm
north_in[24],59.94µm
south_in[22],59.94µm
sw_in[14],59.94µm
west_in[15],59.94µm
_2181_,59.69µm
router_inst.inject_flit\[17\],59.69µm
_1509_,59.64µm
net343,59.64µm
core_inst.rf_mem_if.o_wb_rdt\[15\],59.6µm
_0723_,59.56µm
_2007_,59.53µm
se_in[13],59.43µm
_0056_,59.36µm
net369,59.36µm
net403,59.36µm
core_inst.o_wb_dat\[28\],59.13µm
_1286_,59.08µm
_1881_,58.945µm
net194,58.895µm
east_in[22],58.82µm
ne_in[12],58.82µm
sw_in[22],58.82µm
net849,58.66µm
_0800_,58.57µm
_2192_,58.39µm
east_out[18],58.36µm
east_out[24],58.36µm
south_out[18],58.31µm
south_out[24],58.31µm
core_inst.o_wb_adr\[30\],58.29µm
north_in[19],58.26µm
south_in[3],58.26µm
net57,57.83µm
west_in[22],57.75µm
east_out[26],57.75µm
net362,57.73µm
south_in[20],57.7µm
net355,57.68µm
core_inst.o_wb_adr\[7\],57.55µm
core_inst.o_wb_dat\[1\],57.5µm
_1248_,57.45µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[4\],57.36µm
se_out[12],57.19µm
se_out[25],57.19µm
net365,57.12µm
net377,57.12µm
_1288_,56.94µm
_2142_,56.84µm
_1835_,56.71µm
net83,56.695µm
_0895_,56.66µm
core_inst.o_wb_we,56.56µm
net790,56.18µm
east_out[19],56.12µm
_1839_,56.09µm
east_in[15],56.07µm
nw_in[20],56.07µm
net413,56.05µm
_1524_,55.82µm
net909,55.79µm
core_inst.o_wb_dat\[7\],55.765µm
_1551_,55.635µm
south_in[15],55.56µm
se_in[26],55.46µm
south_in[12],55.46µm
se_out[24],55.46µm
core_inst.rf_mem_if.o_wb_rdt\[1\],55.16µm
core_inst.o_wb_adr\[21\],55.015µm
se_out[33],54.95µm
se_in[32],54.9µm
_2079_,54.89µm
_1540_,54.57µm
_0548_,54.52µm
nw_in[6],54.39µm
_0995_,54.37µm
core_inst.o_wb_adr\[5\],54.37µm
_0773_,54.365µm
_2304_,54.04µm
core_inst.o_wb_adr\[15\],54.04µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[2\],53.98µm
_1003_,53.91µm
south_in[6],53.83µm
se_out[27],53.78µm
net419,53.71µm
sram2048.cen_bank0,53.63µm
net50,53.58µm
_0944_,53.48µm
_1923_,53.42µm
ne_in[26],53.27µm
net923,53.22µm
north_in[26],53.22µm
sw_in[20],53.22µm
net180,53.2µm
net397,53.2µm
_0084_,52.69µm
net360,52.69µm
net881,52.66µm
_1790_,52.46µm
_0628_,52.41µm
_0711_,52.36µm
_2233_,52.36µm
net379,52.23µm
net289,52.13µm
se_in[33],52.1µm
south_out[7],52.1µm
_0519_,52µm
_1527_,51.9µm
net288,51.62µm
net1041,51.62µm
net914,51.54µm
south_in[14],51.54µm
se_out[7],51.54µm
_0113_,51.52µm
_1291_,51.29µm
_1000_,51.24µm
_1895_,51.195µm
net893,51.15µm
net250,51.06µm
sw_in[32],51.03µm
east_out[7],51.03µm
net926,50.98µm
nw_in[18],50.98µm
se_in[29],50.98µm
west_in[27],50.98µm
east_out[25],50.98µm
east_out[30],50.98µm
south_out[2],50.98µm
_0118_,50.96µm
router_inst.inject_flit\[0\],50.905µm
_0547_,50.68µm
_1235_,50.68µm
net911,50.59µm
_0913_,50.55µm
sw_in[31],50.42µm
east_out[13],50.42µm
south_out[28],50.42µm
net158,50.38µm
_0524_,50.17µm
_0520_,50.115µm
west_in[30],49.96µm
_0954_,49.94µm
_0581_,49.89µm
sw_in[0],49.86µm
sw_in[12],49.86µm
west_in[28],49.86µm
_0116_,49.84µm
core_inst.o_wb_dat\[14\],49.84µm
west_out[22],49.8µm
net871,49.75µm
sw_in[30],49.4µm
sw_in[25],49.35µm
net205,49.33µm
net825,49.3µm
north_in[0],49.3µm
south_in[28],49.3µm
east_out[33],49.3µm
_1559_,49.28µm
_2360_,49.275µm
net910,49.14µm
se_out[28],48.84µm
net353,48.82µm
_0960_,48.815µm
east_out[28],48.79µm
_0521_,48.77µm
_1815_,48.77µm
east_in[28],48.74µm
north_in[7],48.74µm
west_in[2],48.74µm
west_in[31],48.74µm
net105,48.73µm
net870,48.58µm
south_out[12],48.58µm
_2195_,48.49µm
se_in[20],48.23µm
_1765_,48.21µm
core_inst.o_wb_adr\[24\],48.21µm
east_in[7],48.18µm
south_in[2],48.18µm
south_in[7],48.18µm
se_out[30],48.18µm
net328,48.16µm
core_inst.o_wb_adr\[4\],48.125µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[6\],48.055µm
_0957_,47.98µm
_2359_,47.965µm
_1944_,47.93µm
net345,47.75µm
ne_in[25],47.72µm
south_in[27],47.72µm
sw_in[29],47.67µm
east_in[27],47.62µm
east_in[2],47.62µm
ne_in[20],47.62µm
north_in[28],47.62µm
_0852_,47.6µm
_0528_,47.52µm
net90,47.405µm
net931,47.18µm
ne_in[6],47.11µm
nw_in[26],47.11µm
se_out[26],47.11µm
south_out[13],47.11µm
_2129_,47.1µm
west_in[32],47.06µm
_0881_,46.81µm
net837,46.78µm
net935,46.67µm
_0728_,46.63µm
core_inst.servile.cpu.bufreg.i_right_shift_op,46.63µm
core_inst.servile.rf_ram_if.rcnt\[2\],46.63µm
net854,46.62µm
nw_in[0],46.6µm
north_in[27],46.5µm
se_in[0],46.5µm
west_in[7],46.5µm
east_out[29],46.5µm
_1841_,46.275µm
net197,46.245µm
router_inst.fifo_mem\[2\]\[17\],46.145µm
net856,46.11µm
_0645_,45.98µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[7\],45.98µm
_0776_,45.97µm
_1273_,45.97µm
north_in[2],45.94µm
se_in[30],45.94µm
west_in[33],45.94µm
net220,45.88µm
_1272_,45.79µm
_0646_,45.675µm
_1766_,45.64µm
_2235_,45.64µm
net920,45.5µm
_1386_,45.36µm
_1252_,45.13µm
_1295_,45.08µm
_1526_,45.08µm
_0518_,45.075µm
_0889_,44.94µm
_1853_,44.85µm
net459,44.85µm
_0031_,44.8µm
net436,44.8µm
net831,44.66µm
net955,44.66µm
router_inst.inject_flit\[19\],44.655µm
core_inst.o_wb_dat\[19\],44.425µm
net38,44.38µm
net899,44.38µm
south_out[27],44.36µm
_1530_,44.34µm
net79,44.34µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[4\],44.25µm
core_inst.servile.rf_ram_if.rgnt,44.24µm
net448,44.24µm
_1535_,44.16µm
_0857_,44.15µm
net139,44.04µm
_2112_,44.01µm
east_in[19],43.7µm
east_in[6],43.7µm
ne_in[30],43.7µm
net956,43.54µm
net170,43.345µm
net816,43.32µm
_0555_,43.27µm
net206,43.27µm
net887,43.26µm
_0726_,43.22µm
north_in[32],43.19µm
net851,43.14µm
south_in[26],43.14µm
net947,42.86µm
_0897_,42.75µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[8\],42.655µm
net32,42.61µm
net351,42.56µm
net412,42.56µm
net309,42.56µm
_0855_,42.28µm
core_inst.servile.cpu.state.cnt_r\[2\],42.2µm
clk_regs,42.135µm
router_inst.inject_flit\[28\],42.125µm
net332,42.1µm
net211,42.1µm
_0694_,42.05µm
core_inst.o_wb_adr\[22\],42.05µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm31,42.05µm
west_in[29],42.02µm
_0959_,42µm
core_inst.o_wb_adr\[29\],42µm
west_out[29],41.86µm
_0062_,41.82µm
net204,41.82µm
core_inst.rf_mem_if.i_raddr\[0\],41.62µm
_0868_,41.49µm
_1030_,41.49µm
net886,41.46µm
east_in[26],41.46µm
ne_in[31],41.46µm
se_out[32],41.46µm
_1848_,41.44µm
_0611_,41.21µm
net934,41.02µm
ne_in[27],41µm
nw_in[2],41µm
_1172_,40.925µm
ne_in[32],40.9µm
ne_in[33],40.9µm
ne_in[7],40.9µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm24_20\[3\],40.88µm
core_inst.o_wb_adr\[8\],40.505µm
_0854_,40.37µm
core_inst.o_wb_adr\[14\],40.37µm
router_inst.fifo_mem\[3\]\[19\],40.37µm
net274,40.37µm
ne_in[2],40.34µm
nw_in[27],40.34µm
sw_in[2],40.34µm
west_in[0],40.34µm
_1555_,40.32µm
net432,40.32µm
_1249_,40.28µm
_0975_,40.24µm
east_out[5],40.23µm
net857,40.18µm
_0597_,40.09µm
_1852_,40.04µm
router_inst.fifo_mem\[2\]\[15\],39.935µm
net891,39.9µm
ne_in[29],39.83µm
_1073_,39.81µm
nw_in[7],39.78µm
se_in[7],39.78µm
net171,39.76µm
net458,39.76µm
net588,39.72µm
_0381_,39.67µm
_0912_,39.66µm
net125,39.655µm
north_in[5],39.62µm
_1215_,39.53µm
net94,39.505µm
core_inst.o_wb_adr\[9\],39.35µm
_1314_,39.3µm
core_inst.servile.rf_ram_if.wdata1_r\[1\],39.3µm
core_inst.servile.rf_ram_if.wdata0_r\[2\],39.25µm
ne_in[28],39.22µm
se_in[2],39.22µm
se_in[31],39.22µm
_1635_,39.2µm
_1849_,39.2µm
net253,39.2µm
_1740_,38.92µm
_2083_,38.92µm
core_inst.o_wb_dat\[15\],38.865µm
_1002_,38.69µm
net925,38.66µm
east_in[0],38.66µm
nw_in[28],38.66µm
se_in[27],38.66µm
south_in[0],38.66µm
sw_in[27],38.66µm
east_out[0],38.66µm
_1757_,38.64µm
net417,38.64µm
net256,38.64µm
net1033,38.64µm
dft_wdata[6],38.5µm
_0652_,38.41µm
net310,38.41µm
router_inst.inject_flit\[4\],38.385µm
_1254_,38.36µm
router_inst.fifo_mem\[2\]\[25\],38.305µm
net882,38.22µm
_0687_,38.18µm
net443,38.13µm
net883,38.1µm
north_in[25],38.1µm
nw_in[32],38.1µm
net852,37.94µm
net866,37.94µm
net946,37.94µm
south_out[17],37.94µm
_1261_,37.855µm
_1844_,37.85µm
se_in[28],37.82µm
_1031_,37.8µm
_1223_,37.8µm
_1271_,37.8µm
_0013_,37.71µm
_1505_,37.66µm
east_in[23],37.66µm
_1786_,37.58µm
core_inst.o_wb_adr\[17\],37.575µm
_1214_,37.57µm
_2177_,37.57µm
nw_in[29],37.54µm
nw_in[31],37.54µm
net398,37.52µm
_1240_,37.47µm
dft_addr[5],37.45µm
north_in[31],37.3µm
net949,37.26µm
_1119_,37.24µm
router_inst.inject_flit\[12\],37.06µm
core_inst.servile.cpu.gen_csr.csr.mstatus_mie,37.03µm
_0516_,37.01µm
core_inst.servile.cpu.state.cnt_r\[1\],37.01µm
net384,37.01µm
net414,37.01µm
core_inst.servile.rf_ram_if.wdata1_r\[5\],36.96µm
net350,36.96µm
net437,36.96µm
_0665_,36.88µm
boot_data[3],36.82µm
se_out[5],36.82µm
_1833_,36.68µm
net936,36.47µm
_0615_,36.45µm
core_inst.o_wb_adr\[20\],36.45µm
nb_state\[1\],36.45µm
net392,36.45µm
net950,36.42µm
_2240_,36.4µm
net433,36.4µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[11\],36.395µm
_0829_,36.36µm
net876,36.26µm
_2047_,36.17µm
_1795_,36.12µm
_0966_,36.085µm
_0805_,35.98µm
_2324_,35.98µm
net320,35.89µm
net441,35.89µm
_0047_,35.84µm
east_out[12],35.75µm
west_out[5],35.7µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[3\],35.595µm
net918,35.58µm
_0927_,35.56µm
_0965_,35.56µm
_1092_,35.56µm
_1096_,35.56µm
core_inst.servile.cpu.gen_csr.csr.mcause3_0\[0\],35.56µm
core_inst.o_wb_adr\[28\],35.43µm
net354,35.33µm
nw_in[25],35.3µm
nw_in[33],35.3µm
east_out[27],35.3µm
net348,35.28µm
router_inst.fifo_mem\[3\]\[24\],35.28µm
net375,35.28µm
dft_wdata[5],35.14µm
nw_in[8],35.14µm
_0567_,35.09µm
_1840_,35.04µm
_1560_,35µm
_1153_,34.895µm
_0914_,34.82µm
_1552_,34.77µm
se_out[2],34.74µm
_0076_,34.72µm
_0091_,34.72µm
core_inst.o_wb_adr\[19\],34.72µm
net27,34.72µm
net265,34.72µm
_1577_,34.71µm
router_inst.fifo_mem\[1\]\[14\],34.63µm
boot_addr[4],34.58µm
_0549_,34.54µm
_1742_,34.49µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm24_20\[2\],34.49µm
router_inst.fifo_mem\[2\]\[12\],34.49µm
sram2048.D\[5\],34.49µm
router_inst.fifo_mem\[2\]\[8\],34.485µm
_1193_,34.44µm
_1004_,34.31µm
core_inst.o_wb_adr\[23\],34.26µm
net430,34.21µm
net438,34.21µm
net452,34.21µm
_0838_,34.16µm
core_inst.o_wb_adr\[18\],34.16µm
se_in[11],34.02µm
_1794_,33.98µm
_0023_,33.88µm
_1417_,33.88µm
_1477_,33.88µm
router_inst.inject_flit\[8\],33.78µm
core_inst.servile.cpu.mem_if.signbit,33.7µm
router_inst.fifo_wr_ptr\[1\],33.7µm
_0458_,33.69µm
core_inst.o_wb_adr\[11\],33.65µm
east_in[31],33.62µm
east_in[32],33.62µm
_0125_,33.6µm
_1836_,33.6µm
router_inst.fifo_rd_ptr\[0\],33.6µm
_0823_,33.56µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[24\],33.495µm
west_out[4],33.46µm
_0556_,33.37µm
_1767_,33.37µm
_1811_,33.37µm
_0997_,33.32µm
_1496_,33.32µm
_2291_,33.32µm
router_inst.fifo_mem\[0\]\[11\],33.32µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[14\],33.275µm
_1687_,33.19µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm24_20\[4\],33.14µm
south_in[25],33.11µm
_0560_,33.09µm
router_inst.fifo_mem\[3\]\[13\],33.09µm
_0669_,33.04µm
net330,33.04µm
net335,33.04µm
net276,33.04µm
boot_addr[9],32.9µm
boot_data[5],32.9µm
dft_addr[9],32.9µm
nw_in[23],32.9µm
_1382_,32.86µm
core_inst.o_wb_adr\[13\],32.86µm
core_inst.o_wb_adr\[26\],32.86µm
_1277_,32.81µm
net840,32.78µm
_0082_,32.76µm
_1870_,32.76µm
router_inst.fifo_mem\[2\]\[24\],32.705µm
_0326_,32.57µm
net399,32.53µm
south_in[30],32.5µm
east_out[2],32.5µm
router_inst.fifo_mem\[3\]\[15\],32.48µm
net263,32.48µm
net1017,32.48µm
_0817_,32.44µm
dft_wdata[7],32.39µm
se_in[23],32.34µm
_1010_,32.2µm
_1325_,32.2µm
_1954_,32.2µm
_0585_,32.06µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[18\],32.06µm
net894,32.06µm
router_inst.fifo_mem\[0\]\[23\],32.06µm
net400,32.02µm
_0123_,31.97µm
core_inst.o_wb_adr\[27\],31.97µm
_0039_,31.92µm
net321,31.92µm
net401,31.92µm
_0590_,31.88µm
_1247_,31.88µm
boot_addr[3],31.78µm
dft_addr[4],31.78µm
ne_in[23],31.78µm
nw_in[11],31.78µm
_0552_,31.69µm
_0634_,31.69µm
_1217_,31.69µm
_2310_,31.69µm
router_inst.fifo_mem\[1\]\[1\],31.69µm
_0454_,31.64µm
_0575_,31.64µm
_0600_,31.64µm
core_inst.o_wb_adr\[25\],31.605µm
router_inst.fifo_mem\[1\]\[0\],31.55µm
router_inst.fifo_mem\[1\]\[3\],31.55µm
_1792_,31.46µm
core_inst.o_wb_adr\[3\],31.46µm
core_inst.servile.rf_ram_if.wdata0_r\[5\],31.46µm
router_inst.inject_flit\[2\],31.46µm
south_in[32],31.43µm
_0626_,31.41µm
net371,31.41µm
east_in[33],31.38µm
north_in[30],31.38µm
north_in[33],31.38µm
south_in[31],31.38µm
_1275_,31.375µm
router_inst.fifo_mem\[1\]\[15\],31.36µm
router_inst.fifo_wr_ptr\[0\],31.36µm
net374,31.36µm
ne_in[11],31.27µm
boot_data[7],31.22µm
dft_wdata[3],31.22µm
_0630_,31.13µm
_1609_,31.13µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[23\],31.115µm
_0511_,31.08µm
_0950_,31.08µm
router_inst.fifo_count\[0\],31.08µm
net428,30.9µm
_0526_,30.85µm
_0946_,30.85µm
_0948_,30.85µm
router_inst.fifo_mem\[3\]\[17\],30.85µm
east_in[25],30.82µm
_0715_,30.8µm
_1562_,30.8µm
core_inst.servile.rf_ram_if.rdata0\[4\],30.8µm
boot_addr[5],30.71µm
south_in[5],30.66µm
_1396_,30.65µm
_0608_,30.52µm
_1306_,30.52µm
_1758_,30.52µm
net40,30.43µm
net450,30.34µm
south_in[29],30.31µm
_0858_,30.29µm
_1533_,30.29µm
_0638_,30.28µm
_0604_,30.24µm
core_inst.servile.cpu.ctrl.pc_plus_offset_cy_r_w\[0\],30.24µm
net339,30.24µm
boot_addr[7],30.1µm
se_in[8],30.1µm
south_in[11],30.1µm
router_inst.fifo_mem\[2\]\[3\],30.09µm
_0987_,30.01µm
net23,30.01µm
_0879_,29.96µm
router_inst.fifo_mem\[0\]\[3\],29.96µm
_0835_,29.73µm
net897,29.7µm
nw_in[30],29.7µm
_2060_,29.68µm
_2323_,29.645µm
dft_addr[6],29.54µm
west_in[11],29.54µm
west_out[25],29.54µm
router_inst.fifo_mem\[0\]\[5\],29.5µm
net842,29.42µm
_1075_,29.4µm
_1813_,29.4µm
router_inst.fifo_mem\[2\]\[6\],29.345µm
core_inst.servile.rf_ram_if.wdata1_r\[3\],29.22µm
_0755_,29.21µm
_0940_,29.17µm
_1834_,29.17µm
net327,29.17µm
net108,29.17µm
router_inst.cpu_read_q,29.17µm
router_inst.fifo_mem\[3\]\[10\],29.17µm
net1048,29.17µm
east_in[30],29.14µm
north_in[29],29.14µm
south_in[33],29.14µm
sw_in[7],29.14µm
_0918_,29.12µm
_2120_,29.12µm
net340,29.12µm
core_inst.rf_mem_if.o_wb_rdt\[31\],29.07µm
net826,28.98µm
net872,28.98µm
net902,28.98µm
dft_wdata[2],28.98µm
south_out[11],28.98µm
west_out[16],28.98µm
west_out[6],28.98µm
router_inst.fifo_mem\[0\]\[8\],28.89µm
_0024_,28.84µm
_0517_,28.84µm
_1847_,28.84µm
core_inst.servile.rf_ram_if.wen0_r,28.8µm
net102,28.71µm
_0766_,28.65µm
_0811_,28.62µm
_1042_,28.61µm
_2224_,28.61µm
core_inst.o_wb_adr\[16\],28.61µm
_2138_,28.56µm
net409,28.56µm
net422,28.56µm
router_inst.fifo_mem\[1\]\[13\],28.55µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[9\],28.42µm
east_in[11],28.42µm
north_in[11],28.42µm
_1569_,28.33µm
_1939_,28.28µm
router_inst.fifo_mem\[2\]\[21\],28.28µm
router_inst.fifo_mem\[2\]\[23\],28.175µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[5\],28.14µm
_0534_,28.05µm
_0561_,28.05µm
_0636_,28.05µm
router_inst.fifo_mem\[3\]\[3\],28.05µm
sw_in[28],28.02µm
_0859_,28µm
_0942_,28µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[5\],28µm
router_inst.fifo_mem\[1\]\[19\],28µm
net868,27.86µm
boot_data[6],27.86µm
sw_in[11],27.86µm
sw_in[8],27.86µm
_0598_,27.82µm
_0851_,27.82µm
_2371_,27.82µm
_0225_,27.77µm
_0996_,27.77µm
_1480_,27.765µm
_1232_,27.72µm
_1444_,27.72µm
_1774_,27.72µm
_1610_,27.71µm
router_inst.fifo_mem\[1\]\[17\],27.63µm
_2139_,27.59µm
_0012_,27.58µm
_0584_,27.53µm
_0553_,27.49µm
core_inst.o_wb_adr\[12\],27.49µm
core_inst.servile.rf_ram_if.wdata0_r\[7\],27.49µm
core_inst.servile.rf_ram_if.wdata1_r\[6\],27.49µm
router_inst.fifo_mem\[2\]\[18\],27.49µm
_1641_,27.48µm
west_in[25],27.46µm
_1748_,27.44µm
net324,27.44µm
net406,27.44µm
router_inst.fifo_mem\[0\]\[17\],27.4µm
dft_addr[10],27.35µm
boot_addr[10],27.3µm
_0905_,27.26µm
_0661_,27.21µm
_0736_,27.16µm
_1251_,27.16µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[21\],27.1µm
net42,27.07µm
_1523_,27.03µm
net873,27.02µm
net929,27.02µm
_0601_,26.99µm
east_in[29],26.95µm
_1521_,26.93µm
_1529_,26.93µm
_2315_,26.93µm
net7,26.93µm
net1052,26.93µm
_2062_,26.88µm
core_inst.servile.rf_ram_if.wdata1_r\[4\],26.88µm
router_inst.fifo_mem\[3\]\[5\],26.88µm
router_inst.inject_flit\[25\],26.88µm
_1037_,26.79µm
ne_in[8],26.79µm
sw_in[23],26.79µm
_1353_,26.75µm
net846,26.74µm
net932,26.74µm
router_inst.fifo_mem\[2\]\[10\],26.73µm
_0522_,26.7µm
_0899_,26.7µm
_0443_,26.65µm
_0675_,26.6µm
_1098_,26.6µm
_1845_,26.6µm
_1946_,26.6µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[1\],26.575µm
_2150_,26.515µm
net15,26.42µm
net986,26.32µm
_0656_,26.24µm
_0955_,26.24µm
_2094_,26.23µm
_0657_,26.22µm
dft_addr[8],26.18µm
se_in[5],26.18µm
net176,26.16µm
_1287_,26.14µm
_1403_,26.09µm
_1482_,26.09µm
router_inst.fifo_mem\[0\]\[6\],26.05µm
_0100_,26.04µm
_0440_,26.04µm
_1020_,26.04µm
_1664_,26.04µm
router_inst.fifo_mem\[0\]\[12\],26µm
router_inst.fifo_mem\[2\]\[9\],25.985µm
net859,25.95µm
_0984_,25.86µm
se_in[25],25.83µm
_1259_,25.81µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[2\],25.81µm
_1642_,25.76µm
core_inst.servile.rf_ram_if.rtrig1,25.76µm
