Metric,Value
route__drc_errors__iter:19,1
route__wirelength__iter:19,691381
route__drc_errors__iter:20,1
route__wirelength__iter:20,691386
route__drc_errors__iter:21,0
route__wirelength__iter:21,691450
route__drc_errors,0
route__wirelength,691508
route__vias,46290
route__vias__singlecut,46290
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
flow__warnings__count:DRT-6000,1001
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1231.71
design__instance__count__class:fill_cell,9509
design__instance__area__class:fill_cell,151008
timing__unannotated_net__count__corner:nom_tt_025C_3v30,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,3
design__max_fanout_violation__count__corner:min_tt_025C_3v30,31
design__max_cap_violation__count__corner:min_tt_025C_3v30,44
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.3341516879997877
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.33024553471062423
timing__hold__ws__corner:min_tt_025C_3v30,0.18653523698099708
timing__setup__ws__corner:min_tt_025C_3v30,10.636134940507032
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.186535
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,13.756124
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,29
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,10
design__max_fanout_violation__count__corner:max_tt_025C_3v30,31
design__max_cap_violation__count__corner:max_tt_025C_3v30,162
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.3597009181211606
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.35475798303112877
timing__hold__ws__corner:max_tt_025C_3v30,0.18446922289604126
timing__setup__ws__corner:max_tt_025C_3v30,10.506390721466241
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.184469
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,13.571908
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,29
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,29
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,31
design__max_cap_violation__count__corner:min_ff_n40C_3v60,41
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.3247222305180556
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.3180926445613115
timing__hold__ws__corner:min_ff_n40C_3v60,0.09448886385212539
timing__setup__ws__corner:min_ff_n40C_3v60,14.003429923109282
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.094489
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,17.559444
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,29
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,1
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,31
design__max_cap_violation__count__corner:max_ff_n40C_3v60,159
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.3533771431051984
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.3418598556554596
timing__hold__ws__corner:max_ff_n40C_3v60,0.09232337378134979
timing__setup__ws__corner:max_ff_n40C_3v60,13.902420053115291
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.092323
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,17.417198
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,29
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,29
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29581
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29985
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.00419397
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.00131947
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.0000809717
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.00131947
design_powergrid__voltage__worst,0.00131947
design_powergrid__voltage__worst__net:VDD,3.29581
design_powergrid__drop__worst,0.00419397
design_powergrid__drop__worst__net:VDD,0.00419397
design_powergrid__voltage__worst__net:VSS,0.00131947
design_powergrid__drop__worst__net:VSS,0.00131947
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00014799999999999999245568760297686594640254043042659759521484375
ir__drop__worst,0.004190000000000000147937218031302109011448919773101806640625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
